,作者,字数,小说名称,最新章节,类别,年份,月份,日
0,雷云风暴,2019.35,从零开始,第23卷 第六章放飞希望（完结篇）,「游戏·虚拟网游」,2016,3,21
1,小段探花,1588.76,修神外传,探花新书《修神外传仙界篇》已经上传,「仙侠·幻想修仙」,2016,10,9
2,汉宝,1261.26,移动藏经阁,番外，普林星系篇（2）,「玄幻·东方玄幻」,2018,8,2
3,傅啸尘,1168.08,武神空间,完本感言！读者请进！,「玄幻·东方玄幻」,2016,9,17
4,傲月长空,1104.23,异世傲天,第1878~1882【大结局！】,「玄幻·异世大陆」,2018,1,15
5,卧牛真人,1040.22,修真四万年,新书预告结束和开始,「科幻·未来世界」,2018,8,31
6,天雷猪,1011.16,剑神重生,完本感言,「玄幻·异世大陆」,2014,6,1
7,张扬的五月,994.86,网游之倒行逆施,完本感言,「游戏·虚拟网游」,2018,4,30
8,velver,988.68,左道旁门,后记,「都市·都市生活」,2015,12,22
9,幻雨,978.6,百炼成仙,幻雨新书《厨道仙途》，大家请去看看哦！,「仙侠·幻想修仙」,2015,5,26
10,韩错,916.92,恋战星梦,第二百章恋战星梦,「都市·娱乐明星」,2015,6,1
11,狼牙怪兽,902.23,枪魔霸世,《后记》,「玄幻·异世大陆」,2014,11,30
12,我叫排云掌,898.69,武侠世界大穿越,完本感言以及新书,「科幻·时空穿梭」,2018,8,4
13,俊秀才,821.62,美梦时代,新书《重生之最强人生》已上传，请诸兄多多指教！,「都市·都市生活」,2016,8,16
14,上帝不在天堂,809.6,埃提亚,完本感言,「游戏·虚拟网游」,2015,7,9
15,南希北庆,802.12,唐朝小闲人,新书已发：原始大厨王！,「历史·两晋隋唐」,2018,9,3
16,博耀,788.33,九炼归仙,《九炼归仙》完本感言,「仙侠·修真文明」,2018,2,5
17,七七家d猫猫,777.21,大艺术家,新书上传,「都市·娱乐明星」,2013,11,15
18,名窑,776.88,极品小农场,新书《悠闲乡村直播间》已上架求首订,「都市·都市生活」,2017,12,27
19,扎姆卡特,776.79,满愿石,第五章坍塌（节五）,「玄幻·异世大陆」,2016,12,13
20,默闻勋勋,767.04,真仙奇缘,完本感言,「仙侠·幻想修仙」,2014,3,27
21,马一角,761.67,仙欲逍遥,诚心道歉，望各位书友原谅。,「仙侠·幻想修仙」,2014,7,23
22,忘语,744.75,凡人修仙传,忘语新书《玄界之门》,「仙侠·幻想修仙」,2016,1,5
23,六道沉沦,734.22,剑道独神,新群号,「玄幻·东方玄幻」,2016,1,19
24,南希北庆,718.66,北宋小厨师,开新书啦！开新书啦！,「历史·两宋元明」,2015,6,19
25,如水意,714.91,佣兵的战争,9.18号新书发布，敬请关注。,「军事·战争幻想」,2017,9,26
